id,transcript_text,bill_name,bill_stance,bill_reason,issue_name,issue_stance,issue_reason,district,state,zip_code,latitude,longitude,call_timestamp,stance
1,Hi I'm a constituent of Congressman Josh Harder. I just wanted to share concerns about economic conditions in our community. Thank you.,,,,,,,CA-09,CA,95210,38.108866,-121.340554,2026-03-04T23:01:40.416102,neutral
2,Hi I'm a constituent of Congressman Josh Harder. I'm calling about the Respect for Marriage Act (H.R.8404). I oppose it. I also want to mention concerns about immigration enforcement and ICE policy. Thank you.,Respect for Marriage Act,,,ICE,,,CA-09,CA,95336,38.060964,-121.288305,2026-03-02T22:07:40.416132,oppose
3,"Hi I'm a constituent of Congressman Josh Harder. I'm calling about the Impeachment Resolution (H.Res.353). I support this bill because I think it goes too far. Thank you, have a good day.",,,,,,,CA-09,CA,95330,38.115638,-121.377051,2026-03-03T19:07:40.416138,support
4,Hi I'm a constituent of Congressman Josh Harder. I'm calling about the Impeachment Resolution (H.Res.353). I support it. I also want to mention concerns about water shortages affecting agriculture. Thank you.,,,,,,,CA-09,CA,95376,37.982841,-121.197416,2026-03-01T21:12:40.416143,support
5,"Hi I'm a constituent of Congressman Josh Harder. I'm calling about the Consolidated Appropriations Act 2026 (H.R.7148). I support this bill because I think it goes too far. Thank you, have a good day.",Consolidated Appropriations Act,,,,,,CA-09,CA,95376,37.920012,-121.433003,2026-03-04T01:20:40.416147,support
6,Hi I'm a constituent of Congressman Josh Harder. I hope Congress addresses water shortages affecting agriculture. I hope the Congressman takes this issue seriously. Thank you.,,,,,,,CA-09,CA,95376,37.817267,-121.403867,2026-03-01T13:22:40.416151,neutral
7,Hi I'm a constituent of Congressman Josh Harder. I'm calling because families in our district are struggling with the cost of living. Thank you.,,,,cost of living,,,CA-09,CA,95207,37.981205,-121.32418,2026-03-05T04:04:40.416155,neutral
8,Hi I'm a constituent of Congressman Josh Harder. I'm calling about the SAVE Act (H.R.22). I support it. I also want to mention concerns about healthcare affordability. Thank you.,SAVE Act,,,,,,CA-09,CA,95207,37.813009,-121.297784,2026-03-03T11:12:40.416158,support
9,Hi I'm a constituent of Congressman Josh Harder. I wanted to express concerns about national policy decisions affecting our district. Thank you.,,,,,,,CA-09,CA,95330,38.033,-121.232818,2026-03-04T15:30:40.416161,neutral
10,Hi I'm a constituent of Congressman Josh Harder. I'm calling about the Treat and Reduce Obesity Act (H.R.4818). I oppose it. I also want to mention concerns about the humanitarian situation in Gaza. Thank you.,Treat and Reduce Obesity Act,,,Gaza,,,CA-09,CA,95207,37.946618,-121.128953,2026-03-03T19:49:40.416163,oppose
11,"Hi I'm a constituent of Congressman Josh Harder. I'm calling about the Consolidated Appropriations Act 2026 (H.R.7148). I support this bill because it would help families in our district. Thank you, have a good day.",Consolidated Appropriations Act,,,,,,CA-09,CA,95207,37.911619,-121.224576,2026-03-06T15:35:40.416166,support
